縣市名稱,縣市代碼,事務所名稱,事務所代碼,鄉鎮市區名稱,鄉鎮市區代碼
臺北市,A,松山,AD,松山區,01
臺北市,A,大安,AF,大安區,02
臺北市,A,古亭,AA,中正區,03
臺北市,A,建成,AB,中正區,03
臺北市,A,建成,AB,萬華區,05
臺北市,A,建成,AB,大同區,09
臺北市,A,中山,AC,中山區,10
臺北市,A,古亭,AA,文山區,11
臺北市,A,松山,AD,南港區,13
臺北市,A,中山,AC,內湖區,14
臺北市,A,士林,AE,士林區,15
臺北市,A,士林,AE,北投區,16
臺北市,A,松山,AD,信義區,17
臺中市,B,中山,BA,中區,01
臺中市,B,中山,BA,東區,02
臺中市,B,中山,BA,南區,03
臺中市,B,中山,BA,西區,04
臺中市,B,中正,BB,北區,05
臺中市,B,中興,BC,西屯區,06
臺中市,B,中興,BC,南屯區,07
臺中市,B,中正,BB,北屯區,08
臺中市,B,豐原,BD,豐原區,09
臺中市,B,東勢,BG,東勢區,10
臺中市,B,大甲,BE,大甲區,11
臺中市,B,清水,BF,清水區,12
臺中市,B,清水,BF,沙鹿區,13
臺中市,B,清水,BF,梧棲區,14
臺中市,B,豐原,BD,后里區,15
臺中市,B,豐原,BD,神岡區,16
臺中市,B,雅潭,BH,潭子區,17
臺中市,B,雅潭,BH,大雅區,18
臺中市,B,東勢,BG,新社區,19
臺中市,B,東勢,BG,石岡區,20
臺中市,B,大甲,BE,外埔區,21
臺中市,B,大甲,BE,大安區,22
臺中市,B,大里,BI,烏日區,23
臺中市,B,龍井,BK,大肚區,24
臺中市,B,龍井,BK,龍井區,25
臺中市,B,大里,BI,霧峰區,26
臺中市,B,太平,BJ,太平區,27
臺中市,B,大里,BI,大里區,28
臺中市,B,東勢,BG,和平區,29
基隆市,C,基隆市,CD,中正區,01
基隆市,C,基隆市,CD,七堵區,02
基隆市,C,基隆市,CD,暖暖區,03
基隆市,C,基隆市,CD,仁愛區,04
基隆市,C,基隆市,CD,中山區,05
基隆市,C,基隆市,CD,安樂區,06
基隆市,C,基隆市,CD,信義區,07
臺南市,D,東南,DC,東區,01
臺南市,D,東南,DC,南區,02
臺南市,D,台南,DA,北區,04
臺南市,D,安南,DB,安南區,06
臺南市,D,台南,DA,安平區,07
臺南市,D,台南,DA,中西區,08
臺南市,D,鹽水,DD,新營區,09
臺南市,D,鹽水,DD,鹽水區,10
臺南市,D,鹽水,DD,柳營區,11
臺南市,D,白河,DE,白河區,12
臺南市,D,白河,DE,後壁區,13
臺南市,D,白河,DE,東山區,14
臺南市,D,麻豆,DF,麻豆區,15
臺南市,D,麻豆,DF,下營區,16
臺南市,D,麻豆,DF,六甲區,17
臺南市,D,麻豆,DF,官田區,18
臺南市,D,麻豆,DF,大內區,19
臺南市,D,佳里,DG,佳里區,20
臺南市,D,佳里,DG,西港區,21
臺南市,D,佳里,DG,七股區,22
臺南市,D,佳里,DG,將軍區,23
臺南市,D,佳里,DG,北門區,24
臺南市,D,佳里,DG,學甲區,25
臺南市,D,新化,DH,新化區,26
臺南市,D,新化,DH,善化區,27
臺南市,D,新化,DH,新市區,28
臺南市,D,新化,DH,安定區,29
臺南市,D,新化,DH,山上區,30
臺南市,D,新化,DH,左鎮區,31
臺南市,D,歸仁,DI,仁德區,32
臺南市,D,歸仁,DI,歸仁區,33
臺南市,D,歸仁,DI,關廟區,34
臺南市,D,歸仁,DI,龍崎區,35
臺南市,D,玉井,DJ,玉井區,36
臺南市,D,玉井,DJ,楠西區,37
臺南市,D,玉井,DJ,南化區,38
臺南市,D,永康,DK,永康區,39
高雄市,E,鹽埕,EA,鹽埕區,01
高雄市,E,鹽埕,EA,鼓山區,02
高雄市,E,楠梓,EE,左營區,03
高雄市,E,楠梓,EE,楠梓區,04
高雄市,E,三民,ED,三民區,05
高雄市,E,新興,EB,新興區,06
高雄市,E,鹽埕,EA,前金區,07
高雄市,E,新興,EB,苓雅區,08
高雄市,E,前鎮,EC,前鎮區,09
高雄市,E,鹽埕,EA,旗津區,10
高雄市,E,前鎮,EC,小港區,11
高雄市,E,鳳山,EG,鳳山區,12
高雄市,E,大寮,EL,林園區,13
高雄市,E,大寮,EL,大寮區,14
高雄市,E,鳳山,EG,大樹區,15
高雄市,E,仁武,EI,大社區,16
高雄市,E,仁武,EI,仁武區,17
高雄市,E,仁武,EI,鳥松區,18
高雄市,E,岡山,EF,岡山區,19
高雄市,E,岡山,EF,橋頭區,20
高雄市,E,岡山,EF,燕巢區,21
高雄市,E,路竹,EJ,田寮區,22
高雄市,E,路竹,EJ,阿蓮區,23
高雄市,E,路竹,EJ,路竹區,24
高雄市,E,路竹,EJ,湖內區,25
高雄市,E,路竹,EJ,茄萣區,26
高雄市,E,岡山,EF,永安區,27
高雄市,E,岡山,EF,彌陀區,28
高雄市,E,岡山,EF,梓官區,29
高雄市,E,旗山,EH,旗山區,30
高雄市,E,美濃,EK,美濃區,31
高雄市,E,美濃,EK,六龜區,32
高雄市,E,旗山,EH,甲仙區,33
高雄市,E,旗山,EH,杉林區,34
高雄市,E,旗山,EH,內門區,35
高雄市,E,美濃,EK,茂林區,36
高雄市,E,美濃,EK,桃源區,37
高雄市,E,旗山,EH,那瑪夏區,38
新北市,F,新莊,FB,新莊區,01
新北市,F,新莊,FB,林口區,02
新北市,F,新莊,FB,五股區,03
