"DateTime","Australia","Canada","China","Denmark","Finland","France","Germany","Hong Kong","India","Indonesia","Italy","Japan","Malaysia","Mexico","Norway","Philippines","Saudi Arabia","Singapore","Spain","Sweden","Taiwan","Thailand","UAE","UK","USA","Vietnam"
"2020-02-21 06:00:00",,,,,,,,,,,,,,,,,,24
"2020-02-24 06:00:00",,,85,,,,,,,54,,,55,,,62,,,,,,73
"2020-02-25 06:00:00",,,,,,,,90,,,,,,,,,,,,,84
"2020-02-28 06:00:00",,,,,,,,,,,,,,,,,,22
"2020-03-01 06:00:00",,,,,,,,,,,,,,,,,,,,,,,,1
"2020-03-02 06:00:00",,,87,,,,,,,61,,,55,,,61,,,,,,74,,,7
"2020-03-03 06:00:00",,,,,,,,85,,,,,,,,,,,,,85
"2020-03-04 06:00:00",,,,,,,2
"2020-03-06 06:00:00",,,,,,,,,,,,,,,,,,23
"2020-03-09 05:00:00",,,86,,,,,,,47,,,53,,,59,,,,,,73
"2020-03-10 05:00:00",,,,,,5,,85,,,,,,,,,,,,,84
"2020-03-11 05:00:00",,,,,,,,,,,26
"2020-03-12 05:00:00",,,,,,,,,,,,,,,,,,,5
"2020-03-13 05:00:00",,,,,,6,,,,,,,,,,,,21,,,,,,1
"2020-03-15 05:00:00",10
"2020-03-16 05:00:00",,,83,1,1,,1,,43,48,,,55,,3,59,,,,1,,71
"2020-03-17 05:00:00",,6,,,,,,86,,,,62,,17,,,,,,,80,,,,5
"2020-03-18 05:00:00",,,,,,,,,,,,,,,,,35,,,,,,39
"2020-03-19 05:00:00",,,,,,,,,,,59,,,,,,,,25
"2020-03-20 05:00:00",,,,,,12,,,46,,,,,,,,,24,,,,,,2
"2020-03-22 05:00:00",13
"2020-03-23 05:00:00",,9,86,1,1,,3,,,59,,,69,21,3,76,,,,1,,80,,,11,59
"2020-03-24 05:00:00",,,,,,,,88,,,,62,,,,,,,,,87
"2020-03-25 05:00:00",,,,,,,,,,,70,,,,,,47,,42,,,,44
"2020-03-27 05:00:00",,,,,,22,,,65,,,,,,,,,27,,,,,,6
"2020-03-29 05:00:00",20,,,2,2,,,,,,,,,,4,,,,,1
"2020-03-30 05:00:00",,16,83,,,,7,,,71,,67,77,28,,82,,,,,,89,,,17,85
"2020-03-31 05:00:00",,,,,,,,89,,,,,,,,,,,,,87
"2020-04-01 05:00:00",,,,,,,,,,,,,,,,,54,,,,,,63
"2020-04-02 05:00:00",,,,,,,,,,,,,,,,,,,45
"2020-04-03 05:00:00",,,,,,25,,,71,,75,,,,,,,37,,,,,,7
"2020-04-05 05:00:00",23,,,3,5,,,,,,,,,,1,,,,,1
"2020-04-06 05:00:00",,18,85,,,,14,,,70,,73,82,37,,84,,,,,,86,,,29,85
"2020-04-07 05:00:00",,,,,,,,88,,,,,,,,,48,,,,89,,54
"2020-04-08 05:00:00",,,,,,,,,,,,,,,,,,,56
"2020-04-09 05:00:00",,,,,,,,,,,82
"2020-04-10 05:00:00",,,,,,38,,,79,,,,,,,,,73
"2020-04-12 05:00:00",26,,,2,4,,,,,,,,,,9,,,,,10
"2020-04-13 05:00:00",,16,89,,,,17,,,79,,76,80,46,,83,,,,,,90,,,49,84
"2020-04-14 05:00:00",,,,,,,,90,,,,,,,,,59,,,,89,,79,10
"2020-04-16 05:00:00",,,,,,,,,,,85,,,,,,,,65
"2020-04-17 05:00:00",,,,,,43,,,84,,,,,,,,,85,,,,,,11
"2020-04-19 05:00:00",27,,,3,3,,,,,,,,,,6,,,,,6
"2020-04-20 05:00:00",,31,82,,,,24,,,81,,81,83,60,,81,,,,,,90,,,58,82
"2020-04-21 05:00:00",,,,,,,,88,,,,,,,,,,,,,88
"2020-04-22 05:00:00",,,,,,,,,,,,,,,,,60,,,,,,80
