Event Study			
	(1)	(2)	(3)
VARIABLES	total	infection	non_infection
			
pre3Xtreat	-4.44e-06	-0.0255	0.00170
	(0.0337)	(0.0561)	(0.0287)
pre1Xtreat	0.0177	-0.0361	0.0229
	(0.0247)	(0.0478)	(0.0208)
post0Xtreat	-0.0131	0.0866*	-0.0290
	(0.0298)	(0.0481)	(0.0260)
post1Xtreat	0.232	0.156***	0.240
	(0.165)	(0.0436)	(0.186)
post2Xtreat	-0.0457	-0.198***	-0.0307
	(0.0398)	(0.0527)	(0.0411)
post3Xtreat	-0.0221	-0.368***	0.00762
	(0.0586)	(0.0694)	(0.0617)
post4Xtreat	-0.105**	-0.489***	-0.0736
	(0.0462)	(0.0878)	(0.0513)
post5Xtreat	-0.105***	-0.520***	-0.0693**
	(0.0364)	(0.0879)	(0.0350)
post6Xtreat	-0.177***	-0.608***	-0.141***
	(0.0465)	(0.0822)	(0.0473)
post7Xtreat	-0.184***	-0.597***	-0.150***
	(0.0463)	(0.0677)	(0.0469)
post8Xtreat	-0.164***	-0.530***	-0.132***
	(0.0443)	(0.0719)	(0.0461)
post9Xtreat	-0.205***	-0.598***	-0.173***
	(0.0461)	(0.0822)	(0.0485)
post10Xtreat	-0.225***	-0.596***	-0.193***
	(0.0495)	(0.0734)	(0.0542)
post11Xtreat	-0.142***	-0.502***	-0.113**
	(0.0439)	(0.0973)	(0.0451)
post12Xtreat	-0.134***	-0.553***	-0.102**
	(0.0452)	(0.0616)	(0.0499)
post13Xtreat	-0.148***	-0.557***	-0.115***
	(0.0376)	(0.0884)	(0.0414)
post14Xtreat	-0.160***	-0.654***	-0.120***
	(0.0402)	(0.0834)	(0.0427)
post15Xtreat	-0.103**	-0.575***	-0.0675
	(0.0519)	(0.0816)	(0.0537)
post16Xtreat	-0.0900**	-0.644***	-0.0486
	(0.0411)	(0.0582)	(0.0449)
post17Xtreat	-0.0496	-0.639***	-0.00538
	(0.0394)	(0.0747)	(0.0422)
post18Xtreat	-0.0570	-0.738***	-0.00683
	(0.0402)	(0.0702)	(0.0436)
post19Xtreat	-0.0639	-0.628***	-0.0203
	(0.0390)	(0.0734)	(0.0419)
post20Xtreat	-0.0481	-0.671***	-0.00154
	(0.0413)	(0.0697)	(0.0445)
post21Xtreat	-0.0312	-0.639***	0.0146
	(0.0409)	(0.0698)	(0.0445)
post22Xtreat	-0.0676	-0.572***	-0.0278
	(0.0449)	(0.0523)	(0.0480)
post23Xtreat	0.00602	-0.586***	0.0481
	(0.0341)	(0.0722)	(0.0348)
post24Xtreat	-0.0175	-0.618***	0.0260
	(0.0399)	(0.0800)	(0.0421)
post25Xtreat	-0.0152	-0.585***	0.0262
	(0.0381)	(0.0819)	(0.0404)
post26Xtreat	0.00223	-0.565***	0.0424
	(0.0394)	(0.0806)	(0.0415)
post27Xtreat	-0.0100	-0.626***	0.0322
	(0.0392)	(0.0614)	(0.0405)
post28Xtreat	0.00343	-0.537***	0.0423
	(0.0409)	(0.0510)	(0.0444)
post29Xtreat	0.0477	-0.540***	0.0892**
	(0.0366)	(0.0498)	(0.0380)
post30Xtreat	0.0353	-0.451***	0.0718*
	(0.0382)	(0.0534)	(0.0398)
post31Xtreat	-0.000925	-0.465***	0.0347
	(0.0487)	(0.0569)	(0.0508)
post32Xtreat	-0.0625	-0.473***	-0.0302
	(0.0443)	(0.0696)	(0.0463)
post33Xtreat	-0.0486	-0.518***	-0.0122
	(0.0479)	(0.0605)	(0.0496)
post34Xtreat	-0.108*	-0.550***	-0.0748
	(0.0560)	(0.0713)	(0.0568)
post35Xtreat	0.00977	-0.492***	0.0461
	(0.0420)	(0.0713)	(0.0407)
post36Xtreat	-0.00728	-0.246***	0.0121
	(0.0588)	(0.0747)	(0.0571)
post37Xtreat	0.0666	-0.207***	0.0880*
	(0.0483)	(0.0658)	(0.0470)
post38Xtreat	0.0248	-0.272***	0.0473
	(0.0435)	(0.0491)	(0.0440)
post39Xtreat	0.0531	-0.248***	0.0766*
	(0.0411)	(0.0382)	(0.0412)
post40Xtreat	0.0204	-0.205***	0.0384
	(0.0390)	(0.0436)	(0.0385)
post41Xtreat	0.0376	-0.142***	0.0520
	(0.0379)	(0.0337)	(0.0378)
post42Xtreat	0.0448	-0.193***	0.0634
	(0.0422)	(0.0429)	(0.0418)
post43Xtreat	0.0358	-0.146***	0.0506
	(0.0441)	(0.0331)	(0.0448)
post44Xtreat	0.0284	-0.227***	0.0483
	(0.0425)	(0.0355)	(0.0429)
post45Xtreat	0.0179	-0.266***	0.0393
	(0.0416)	(0.0335)	(0.0419)
post46Xtreat	0.00808	-0.280***	0.0300
	(0.0396)	(0.0331)	(0.0396)
post47Xtreat	0.0363	-0.337***	0.0638
	(0.0452)	(0.0473)	(0.0459)
post48Xtreat	0.0536	-0.330***	0.0828
	(0.0532)	(0.0716)	(0.0531)
			
Observations	7,986	7,944	7,986
Robust standard errors in parentheses			
*** p<0.01, ** p<0.05, * p<0.1			
